epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,246.91,1.452,1.36987,1.58242,0.6727,0.60038,0.62288,0.28796,1.7999,3.43401,1.74809,0.0668177,3.32155e-05,3.32155e-05
2,485.967,1.4362,1.34171,1.57489,0.75341,0.706,0.765,0.38633,1.60475,1.16715,1.63877,0.033517,6.589e-05,6.589e-05
3,723.302,1.44993,1.35351,1.58487,0.76109,0.70409,0.74924,0.36677,1.67045,1.1427,1.65574,0.00021569,9.79045e-05,9.79045e-05
4,958.809,1.43019,1.3422,1.57398,0.73475,0.75138,0.77186,0.39445,1.61011,1.09513,1.60173,9.703e-05,9.703e-05,9.703e-05
5,1195,1.42811,1.34349,1.57928,0.74091,0.76242,0.76912,0.38742,1.62445,1.2297,1.61705,9.604e-05,9.604e-05,9.604e-05
6,1430.13,1.42362,1.31966,1.57042,0.7192,0.76662,0.7927,0.38995,1.62395,1.12643,1.64824,9.505e-05,9.505e-05,9.505e-05
7,1665.46,1.41669,1.30696,1.56235,0.78663,0.73338,0.80058,0.40098,1.60085,1.15079,1.59594,9.406e-05,9.406e-05,9.406e-05
8,1900.71,1.40962,1.29604,1.55651,0.76385,0.75966,0.81226,0.41671,1.62395,1.07656,1.61778,9.307e-05,9.307e-05,9.307e-05
9,2136.4,1.40167,1.29581,1.54497,0.7497,0.75502,0.798,0.40167,1.63447,1.06789,1.63205,9.208e-05,9.208e-05,9.208e-05
10,2371.56,1.38668,1.27088,1.54896,0.80131,0.71484,0.78836,0.41095,1.60295,1.06822,1.61815,9.109e-05,9.109e-05,9.109e-05
11,2607.03,1.37114,1.2567,1.53213,0.78391,0.76535,0.81791,0.42766,1.53894,1.06491,1.57022,9.01e-05,9.01e-05,9.01e-05
12,2843.12,1.36758,1.24359,1.5239,0.75131,0.78671,0.80466,0.41676,1.57835,1.04275,1.58802,8.911e-05,8.911e-05,8.911e-05
13,3078.29,1.35225,1.21687,1.51926,0.77482,0.7813,0.79483,0.4068,1.59654,1.07053,1.60145,8.812e-05,8.812e-05,8.812e-05
14,3313.56,1.33428,1.19214,1.49195,0.76403,0.75193,0.8067,0.42467,1.57493,1.05839,1.58491,8.713e-05,8.713e-05,8.713e-05
15,3548.83,1.3386,1.20022,1.50187,0.77166,0.77824,0.81266,0.43652,1.55446,0.99001,1.58918,8.614e-05,8.614e-05,8.614e-05
16,3784.67,1.31244,1.17982,1.48227,0.75949,0.77743,0.82207,0.43748,1.54464,1.02727,1.58737,8.515e-05,8.515e-05,8.515e-05
17,4019.96,1.3183,1.17304,1.48631,0.79927,0.76352,0.81213,0.43315,1.55942,1.0196,1.58714,8.416e-05,8.416e-05,8.416e-05
18,4255.05,1.29584,1.15187,1.4717,0.80863,0.73957,0.81843,0.43707,1.56085,1.01216,1.58149,8.317e-05,8.317e-05,8.317e-05
19,4490.27,1.2878,1.14446,1.45764,0.78618,0.79753,0.8085,0.43614,1.57205,0.99131,1.57941,8.218e-05,8.218e-05,8.218e-05
20,4725.65,1.28229,1.13005,1.45934,0.81937,0.75889,0.81488,0.43458,1.58944,0.97721,1.60901,8.119e-05,8.119e-05,8.119e-05
21,4960.48,1.26874,1.11992,1.45196,0.78766,0.76662,0.82233,0.43427,1.5663,1.00189,1.59206,8.02e-05,8.02e-05,8.02e-05
22,5195.13,1.26356,1.10616,1.44017,0.80257,0.78825,0.82424,0.44661,1.54217,0.99481,1.57238,7.921e-05,7.921e-05,7.921e-05
23,5431.02,1.23882,1.0734,1.42384,0.78698,0.78671,0.81386,0.44721,1.563,0.99293,1.61037,7.822e-05,7.822e-05,7.822e-05
24,5665.87,1.23406,1.07257,1.4161,0.79348,0.77821,0.817,0.44094,1.5597,0.984,1.60377,7.723e-05,7.723e-05,7.723e-05
25,5900.6,1.21781,1.05153,1.41396,0.78202,0.78671,0.81468,0.43528,1.56314,1.01344,1.61465,7.624e-05,7.624e-05,7.624e-05
26,6135.32,1.21439,1.04824,1.40263,0.78187,0.80608,0.83169,0.45337,1.55067,0.96821,1.60966,7.525e-05,7.525e-05,7.525e-05
27,6371.15,1.20711,1.0326,1.394,0.82714,0.78284,0.83585,0.4602,1.53526,0.95307,1.588,7.426e-05,7.426e-05,7.426e-05
28,6606.7,1.20261,1.04176,1.39219,0.80925,0.78685,0.82812,0.46256,1.52454,0.9567,1.57688,7.327e-05,7.327e-05,7.327e-05
29,6841.97,1.19187,1.01095,1.38735,0.77749,0.79659,0.81344,0.44802,1.53778,0.99155,1.59611,7.228e-05,7.228e-05,7.228e-05
30,7076.54,1.1816,1.00856,1.37665,0.80346,0.80062,0.82681,0.45365,1.56037,0.9143,1.61204,7.129e-05,7.129e-05,7.129e-05
31,7312.26,1.18079,0.99853,1.37735,0.81532,0.79153,0.83115,0.47792,1.4906,0.93396,1.57021,7.03e-05,7.03e-05,7.03e-05
32,7547.31,1.16562,0.99513,1.36363,0.83905,0.7813,0.84409,0.47091,1.50876,0.92315,1.57541,6.931e-05,6.931e-05,6.931e-05
